idNum,title,authors,summary,associations,frontNotes,endNotes,worksInspired,frontNotes,endNotes,site,rating,warnings,romanticCats,fandoms,relationships,characters,moreTags,language,series,collections,publishDate,completeDate,numWords,numChapters,totalChapters,numComments,numKudos,numBookmarks,numHits
15698094,The Luck of Aizawa Shouta,"[['pt_tucker', '/users/pt_tucker/pseuds/pt_tucker']]","<p>Shouta unexpectedly goes into heat in the middle of class. Luckily for him, his husband isn't far away. Not so luckily for him, his class has no idea he even has one.</p>",[],"<p>A fairly self-indulgent fic, ngl. </p>
<p><strong>Warning:</strong> While the EraserMic is COMPLETELY consensual in this fic, it does vaguely imply that it could potentially not be (i.e. why the students are getting all protective over Aizawa in the first place). Just a head's up for that.</p>",<p>I'd really love to hear what you all thought! Comments &amp; kudos are love. &lt;3</p>,[],"<p>A fairly self-indulgent fic, ngl. </p>
<p><strong>Warning:</strong> While the EraserMic is COMPLETELY consensual in this fic, it does vaguely imply that it could potentially not be (i.e. why the students are getting all protective over Aizawa in the first place). Just a head's up for that.</p>",<p>I'd really love to hear what you all thought! Comments &amp; kudos are love. &lt;3</p>,ao3,Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],"[['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia', '/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia/works']]","[['romantic', 'Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic'], ['platonic', 'Aizawa Shouta | Eraserhead', 'Class 1-A']]","[['Aizawa Shouta | Eraserhead', '/tags/Aizawa%20Shouta%20%7C%20Eraserhead/works'], ['Yamada Hizashi | Present Mic', '/tags/Yamada%20Hizashi%20%7C%20Present%20Mic/works'], ['Class 1-A (My Hero Academia)', '/tags/Class%201-A%20(My%20Hero%20Academia)/works']]","['Alpha/Beta/Omega Dynamics', 'Omega Aizawa Shouta | Eraserhead', 'Alpha Yamada Hizashi | Present Mic', 'Protective Class 1-A (My Hero Academia)', 'Mating Cycles/In Heat', 'Unexpected Heat', 'POV Aizawa Shouta | Eraserhead', 'Aizawa-centric', 'Protective Bakugou Katsuki', 'Secret Relationship', 'Secret Marriage', ""Don't worry NONE of the students want to fuck him"", ""they just don't want his husband to fuck him either""]",English,[],['MHA Chaotic Energy 3000'],2018-08-16,2018-08-16,2115,1,1,114,3105,323,28132
idNum,title,authors,summary,associations,frontNotes,endNotes,worksInspired,frontNotes,endNotes,site,rating,warnings,romanticCats,fandoms,relationships,characters,moreTags,language,series,collections,publishDate,completeDate,numWords,numChapters,totalChapters,numComments,numKudos,numBookmarks,numHits
76861,"Five times the Leverage Crew was not in Gotham, no, really, they weren't, no","[['noelia_g', '/users/noelia_g/pseuds/noelia_g']]","<p>And then Hardison clicks to the next slide. ""Of course, now the company had been bought by the Wayne Enterprises,"" he says slowly and pointedly, and all the others suddenly sit up, the focus of their attention shifting and narrowing.</p><p>""No,"" Sophie says. Eliot nods once, sharply, and Parker does a rather good impression of one of those boggling-head-dolls, agreeing completely.</p>",[],,,[],,,ao3,Not Rated,['Creator Chose Not To Use Archive Warnings'],['Gen'],"[['Leverage', '/tags/Leverage/works'], ['Batman (Movies - Nolan)', '/tags/Batman%20(Movies%20-%20Nolan)/works']]",[],"[['Alec Hardison', '/tags/Alec%20Hardison/works'], ['Parker (Leverage)', '/tags/Parker%20(Leverage)/works'], ['Sophie Devereaux', '/tags/Sophie%20Devereaux/works'], ['Eliot Spencer', '/tags/Eliot%20Spencer/works'], ['Nathan Ford', '/tags/Nathan%20Ford/works'], ['Bruce Wayne', '/tags/Bruce%20Wayne/works']]",['Crossover'],English,[],['Sometimes Bad Guys Make The Best Good Guys.'],2010-04-02,2010-04-02,1453,1,1,75,2355,431,18556
106190,Carpetbaggers,"[['cofax', '/users/cofax/pseuds/cofax']]","<p><i>The day after Aslan left, taking the magic with him, just about everyone else left, too.</i></p><p>After the coronation festivities, the <i>real</i> work begins.  During/post ""The Lion, the Witch, and the Wardrobe"".</p>",[],<p>Beta by Snacky and Finisterre.</p>,,[],<p>Beta by Snacky and Finisterre.</p>,,ao3,General Audiences,['No Archive Warnings Apply'],['Gen'],"[['Chronicles of Narnia - C. S. Lewis', '/tags/Chronicles%20of%20Narnia%20-%20C*d*%20S*d*%20Lewis/works']]",[],"[['Peter Pevensie', '/tags/Peter%20Pevensie/works'], ['Lucy Pevensie', '/tags/Lucy%20Pevensie/works'], ['Susan Pevensie', '/tags/Susan%20Pevensie/works'], ['Edmund Pevensie', '/tags/Edmund%20Pevensie/works'], ['OFC', '/tags/OFC/works']]",[],English,"[['1', 'Carpetbaggers']]","['My Heart Adores', 'SomethingNew_Worldbuilding_Creative_OfQuality', 'Phone Tab Count goes brrrr']",2010-08-09,2011-07-29,119268,10,10,382,1417,626,42102
111690,Iron Robin,"[['Thene', '/users/Thene/pseuds/Thene']]","<p>Written for marvel_kink.  The original prompt was; <em>'Howard Stark pimped out his son like a rent boy to close business deals.'</em>  Unfortunately for Howard Stark, he was trying to close a deal with Wayne Enterprises.</p>",[],"<p>With thanks to two LJ comms, marvel_kink and wayne_stark - the title was kindly provided by a marvel_kink anon.</p><p>Warnings for teen!Tony/adult!Bruce touching &amp; kissing (no sex), and implied alcohol abuse on Tony's part (what else is new?)</p>",,[],"<p>With thanks to two LJ comms, marvel_kink and wayne_stark - the title was kindly provided by a marvel_kink anon.</p><p>Warnings for teen!Tony/adult!Bruce touching &amp; kissing (no sex), and implied alcohol abuse on Tony's part (what else is new?)</p>",,ao3,Mature,['Underage'],['M/M'],"[['Iron Man (Movieverse)', '/tags/Iron%20Man%20(Movieverse)/works'], ['Batman (Movies - Nolan)', '/tags/Batman%20(Movies%20-%20Nolan)/works']]","[['romantic', 'Tony Stark', 'Bruce Wayne']]","[['Tony Stark', '/tags/Tony%20Stark/works'], ['Bruce Wayne', '/tags/Bruce%20Wayne/works']]","['Alcohol', 'sexy touching', 'Hurt/Comfort', 'Crossover Pairing', 'Community: marvel_kink', 'Rescue', 'Familial Abuse', 'Forced Prostitution', 'Prostitution', ""Howard Stark's A+ Parenting""]",English,[],[],2010-09-03,2010-09-03,1867,1,1,43,1735,185,23276
164479,Old Country,"[['astolat', '/users/astolat/pseuds/astolat']]","<p>Sam and Dean go to Hogwarts. (spoilers for All Hell Breaks Loose, Deathly Hallows)</p>","[['Translation into Русский available: Старый свет by Fate, Фиолетовая Лиса (purple_fox)', ['Старый свет', '/works/281329'], ['Fate', '/users/Fate/pseuds/Fate'], ['Фиолетовая Лиса (purple_fox)', '/users/purple_fox/pseuds/%D0%A4%D0%B8%D0%BE%D0%BB%D0%B5%D1%82%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%9B%D0%B8%D1%81%D0%B0']], ['Translation into 中文-普通话 國語 available: Old Country by Hululu', ['Old Country', '/works/3518495'], ['Hululu', '/users/Hululu/pseuds/Hululu']]]","<p>Quick note to avoid confusion: this disregards the Harry Potter book dates -- that is, Deathly Hallows really takes place 1997-1998, but for purposes of syncing up with Supernatural, here the Battle of Hogwarts takes place roughly around the same time as All Hell Breaks Loose.</p>","<p>Note: the ""magic"" certificate requires javascript, so to see it work and read the translation, you have to go look at it <a href=""http://www.intimations.org/fanfic/supernatural/Old%20Country.html#certificate"" rel=""nofollow"">on my website</a>. :)</p><p>This all started when <a href=""http://sanj.livejournal.com"" rel=""nofollow""><b>sanj</b></a> posted the proposition, ""Dean Winchester is a Hufflepuff who thinks he's a Gryffindor, and Sam Winchester is a Slytherin who thinks he's a Ravenclaw. Discuss.""</p><p>I didn't actually plan on doing more with the idea than enjoying it in my own head, but then <a href=""http://ignipes.livejournal.com"" rel=""nofollow""><b>ignipes</b></a> posted asking <a href=""http://ignipes.livejournal.com/255514.html"" rel=""nofollow"">""Where are the Winchesters-at-Hogwarts crossovers?""</a> (read <a href=""http://ignipes.livejournal.com/255958.html"" rel=""nofollow"">hers</a>, too!) and I ended up rambling out enough of the idea in the comments that I was stuck with it. The ramble got me about halfway through part I and ended in ""and it is all wacky hijinx from there."" It's amazing how many words wacky hijinx can produce. :|</p><p>Giddy helped me work out the whole plot in many chat installments, Julad and Mia and Cesca and RivkaT all pitched in on the beta, and the awesome toft_froggy wrote me up the Latin for Dean's shiny official letter. ♥ all!</p><p>A few last visual aids:</p><p>Archimedes<br/><a href=""http://homepage.mac.com/wildlifeweb/bird/great_horned_owl/great_horned_owl.html"" rel=""nofollow"">http://homepage.mac.com/wildlifeweb/bird/great_horned_owl/great_horned_owl.html</a></p><p>The HP Currency Converter Calculator<br/><a href=""http://cgi.money.cnn.com/apps/hpcurrconv"" rel=""nofollow"">http://cgi.money.cnn.com/apps/hpcurrconv</a></p><p>Taversham House<br/><a href=""http://www.sudeleycastle.co.uk/"" rel=""nofollow"">http://www.sudeleycastle.co.uk/</a></p>",[],"<p>Quick note to avoid confusion: this disregards the Harry Potter book dates -- that is, Deathly Hallows really takes place 1997-1998, but for purposes of syncing up with Supernatural, here the Battle of Hogwarts takes place roughly around the same time as All Hell Breaks Loose.</p>","<p>Note: the ""magic"" certificate requires javascript, so to see it work and read the translation, you have to go look at it <a href=""http://www.intimations.org/fanfic/supernatural/Old%20Country.html#certificate"" rel=""nofollow"">on my website</a>. :)</p><p>This all started when <a href=""http://sanj.livejournal.com"" rel=""nofollow""><b>sanj</b></a> posted the proposition, ""Dean Winchester is a Hufflepuff who thinks he's a Gryffindor, and Sam Winchester is a Slytherin who thinks he's a Ravenclaw. Discuss.""</p><p>I didn't actually plan on doing more with the idea than enjoying it in my own head, but then <a href=""http://ignipes.livejournal.com"" rel=""nofollow""><b>ignipes</b></a> posted asking <a href=""http://ignipes.livejournal.com/255514.html"" rel=""nofollow"">""Where are the Winchesters-at-Hogwarts crossovers?""</a> (read <a href=""http://ignipes.livejournal.com/255958.html"" rel=""nofollow"">hers</a>, too!) and I ended up rambling out enough of the idea in the comments that I was stuck with it. The ramble got me about halfway through part I and ended in ""and it is all wacky hijinx from there."" It's amazing how many words wacky hijinx can produce. :|</p><p>Giddy helped me work out the whole plot in many chat installments, Julad and Mia and Cesca and RivkaT all pitched in on the beta, and the awesome toft_froggy wrote me up the Latin for Dean's shiny official letter. ♥ all!</p><p>A few last visual aids:</p><p>Archimedes<br/><a href=""http://homepage.mac.com/wildlifeweb/bird/great_horned_owl/great_horned_owl.html"" rel=""nofollow"">http://homepage.mac.com/wildlifeweb/bird/great_horned_owl/great_horned_owl.html</a></p><p>The HP Currency Converter Calculator<br/><a href=""http://cgi.money.cnn.com/apps/hpcurrconv"" rel=""nofollow"">http://cgi.money.cnn.com/apps/hpcurrconv</a></p><p>Taversham House<br/><a href=""http://www.sudeleycastle.co.uk/"" rel=""nofollow"">http://www.sudeleycastle.co.uk/</a></p>",ao3,Explicit,['Creator Chose Not To Use Archive Warnings'],['M/M'],"[['Supernatural', '/tags/Supernatural/works'], ['Harry Potter - J. K. Rowling', '/tags/Harry%20Potter%20-%20J*d*%20K*d*%20Rowling/works']]","[['romantic', 'Dean Winchester', 'Sam Winchester']]","[['Sam Winchester', '/tags/Sam%20Winchester/works'], ['Dean Winchester', '/tags/Dean%20Winchester/works'], ['Harry Potter', '/tags/Harry%20Potter/works'], ['Draco Malfoy', '/tags/Draco%20Malfoy/works']]",['Originally Posted on LiveJournal'],English,"[['7', 'Astolat Sampler']]","['Best Supernatural Crossovers', 'Best Harry Potter Crossovers']",2007-09-13,2007-09-13,40638,1,1,168,2830,1068,61230
170403,Her Kingdom As Great,"[['MarbleGlove', '/users/MarbleGlove/pseuds/MarbleGlove']]","<p>What's said is said, and Sarah said, ""My Will is as Strong as Yours and my Kingdom as Great."" And then, of course, she lied.</p>",[],,,[],,,ao3,General Audiences,['No Archive Warnings Apply'],['F/M'],"[['Labyrinth (1986)', '/tags/Labyrinth%20(1986)/works']]","[['romantic', 'Sarah Williams', 'Jareth']]","[['Sarah Williams', '/tags/Sarah%20Williams/works'], ['Jareth (Labyrinth)', '/tags/Jareth%20(Labyrinth)/works'], ['Irene | Karen Williams', '/tags/Irene%20%7C%20Karen%20Williams/works']]",[],English,"[['1', 'Her Kingdom as Great']]","['Recommended by Hallen', 'Stories I LOVED', '~Hallowtide Recommends~', 'Well thought out works (Mind games-psychological-personality-world detail-suspense-fluff-crack-smut)', 'BAMF female characters', 'Heart of the Divine', ""Mnemosyne's Tears' rereads and follow-alongs"", ""The Witch's Woods"", 'An Assortment of Damn Good Fics']",2011-03-14,2017-12-10,27245,3,3,283,3875,1142,50354
240930,Reconcilable Differences,"[['astolat', '/users/astolat/pseuds/astolat']]",<p>Luthor Family Values.</p>,"[['Translation into Русский available: Разрешимые разногласия by AOrvat', ['Разрешимые разногласия', '/works/23081098'], ['AOrvat', '/users/AOrvat/pseuds/AOrvat']]]","<p>I've borrowed a bunch of DC comics characters for this story; the one that I feel needs some real explanation is Kon, aka Superboy, who is the test-tube baby of Superman and Lex Luthor. (No, I am seriously not making this up. I <i>would</i> have, but the writers at DC generously smoke crack so we fans don't have to.) Tim Drake is the current Robin.</p><p>I'm introducing these characters into the Smallville universe, not really sticking to the DC canon, so fair warning that I have been mucking about with the backstory to suit myself. Hopefully it is all clear from context!</p>","<p>All feedback loved! <a href=""http://astolat.dreamwidth.org/94841.html"">Original journal post</a></p>",[],"<p>I've borrowed a bunch of DC comics characters for this story; the one that I feel needs some real explanation is Kon, aka Superboy, who is the test-tube baby of Superman and Lex Luthor. (No, I am seriously not making this up. I <i>would</i> have, but the writers at DC generously smoke crack so we fans don't have to.) Tim Drake is the current Robin.</p><p>I'm introducing these characters into the Smallville universe, not really sticking to the DC canon, so fair warning that I have been mucking about with the backstory to suit myself. Hopefully it is all clear from context!</p>","<p>All feedback loved! <a href=""http://astolat.dreamwidth.org/94841.html"">Original journal post</a></p>",ao3,Explicit,['Creator Chose Not To Use Archive Warnings'],['M/M'],"[['Smallville', '/tags/Smallville/works'], ['Superman (Comics)', '/tags/Superman%20(Comics)/works'], ['Teen Titans', '/tags/Teen%20Titans/works']]","[['romantic', 'Clark Kent', 'Lex Luthor'], ['romantic', 'Clark Kent', 'Lois Lane']]","[['Clark Kent', '/tags/Clark%20Kent/works'], ['Lex Luthor', '/tags/Lex%20Luthor/works'], ['Kon-El', '/tags/Kon-El/works'], ['Conner Kent', '/tags/Conner%20Kent/works'], ['Tim Drake', '/tags/Tim%20Drake/works'], ['Lois Lane', '/tags/Lois%20Lane/works'], ['Bruce Wayne', '/tags/Bruce%20Wayne/works']]",['Originally Posted on LiveJournal'],English,"[['1', 'Reconcilable Differences'], ['4', 'Astolat Sampler'], ['11', 'Smallville works']]","['Fave Stories of Queixo', ""Isabelle Disraeli's Fanfiction Recommendations""]",2006-06-11,2006-06-11,38799,1,1,127,2790,1049,70972
260273,Gonna Be A Better One (A Thousand Miles To Your Door),"[['Traincat', '/users/Traincat/pseuds/Traincat']]","<p>In which Tim quits being Robin, Kon refuses to quit Tim and Ma Kent is full of relationship advice. For <a href=""http://www.hunterwithcause.livejournal.com/profile"">hunterwithcause</a> for Help Japan.</p>",[],"<p>For <a href=""http://www.hunterwithcause.livejournal.com/profile"">hunterwithcause</a>, for Help_Japan, who asked for a slight AU set during the time Tim quit being Robin, with Tim and Kon in an established relationship before Tim quit and Kon getting to meet the parents. Preestablished canon relationships with Steph and Cassie respectively still happened, but they parted amicably and are all still friends because they're too awesome not to be. No reboot needed and nobody's dressed like a Vegas showgirl, <i>Tim</i>. Now with awkward boys being awkwardorable, the occasional gang of evil robots and plenty of pie.</p><p>Thank you so much for your donation, hunterwithcause, and I hope you enjoy the fic! And thank you for being so patient with me during the wait, and I'll have the second half to you pronto!</p>",,[],"<p>For <a href=""http://www.hunterwithcause.livejournal.com/profile"">hunterwithcause</a>, for Help_Japan, who asked for a slight AU set during the time Tim quit being Robin, with Tim and Kon in an established relationship before Tim quit and Kon getting to meet the parents. Preestablished canon relationships with Steph and Cassie respectively still happened, but they parted amicably and are all still friends because they're too awesome not to be. No reboot needed and nobody's dressed like a Vegas showgirl, <i>Tim</i>. Now with awkward boys being awkwardorable, the occasional gang of evil robots and plenty of pie.</p><p>Thank you so much for your donation, hunterwithcause, and I hope you enjoy the fic! And thank you for being so patient with me during the wait, and I'll have the second half to you pronto!</p>",,ao3,Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],"[['Teen Titans (Comics)', '/tags/Teen%20Titans%20(Comics)/works'], ['DCU - Comicverse', '/tags/DCU%20-%20Comicverse/works']]","[['romantic', 'Tim Drake', 'Kon-El']]","[['Tim Drake', '/tags/Tim%20Drake/works'], ['Kon-El', '/tags/Kon-El/works'], ['Jack Drake', '/tags/Jack%20Drake/works'], ['Cassie Sandsmark', '/tags/Cassie%20Sandsmark/works'], ['Martha Kent', '/tags/Martha%20Kent/works'], ['Jonathan Kent', '/tags/Jonathan%20Kent/works'], ['Bart Allen', '/tags/Bart%20Allen/works'], ['Dick Grayson', '/tags/Dick%20Grayson/works'], ['Dana Winters', '/tags/Dana%20Winters/works'], ['Stephanie Brown', '/tags/Stephanie%20Brown/works'], ['Batman', '/tags/Batman/works'], ['Clark Kent', '/tags/Clark%20Kent/works']]","['meet the parents', 'Fluff', 'gratuitous robot invasions']",English,[],"[""Cinward's Favorites""]",2011-10-02,2011-10-24,18667,2,2,128,3048,809,47027
278395,Safeword,"[['melannen', '/users/melannen/pseuds/melannen']]","<p>Tony Stark doesn't need to be safe, sane, and consensual. He has JARVIS instead. (Then he gets Steve.)</p>","[['Translation into Polski available: Hasło bezpieczeństwa by LoboBathory', ['Hasło bezpieczeństwa', '/works/1614083'], ['LoboBathory', '/users/LoboBathory/pseuds/LoboBathory']]]","<p>Note the summary and tags, and take warning. This story contains passing descriptions of some very bad sexual encounters. (But I promise Captain America makes it all better.)</p><p>Written for a prompt on Synecdochic's ""Oh My God We Need Some Porn In Here Stat"" Porn Meme.</p>",,[],"<p>Note the summary and tags, and take warning. This story contains passing descriptions of some very bad sexual encounters. (But I promise Captain America makes it all better.)</p><p>Written for a prompt on Synecdochic's ""Oh My God We Need Some Porn In Here Stat"" Porn Meme.</p>",,ao3,Mature,['No Archive Warnings Apply'],"['F/M', 'M/M', 'Multi', 'Other']","[['Iron Man (Movies)', '/tags/Iron%20Man%20(Movies)/works'], ['The Avengers (2012)', '/tags/The%20Avengers%20(2012)/works'], ['Marvel Cinematic Universe', '/tags/Marvel%20Cinematic%20Universe/works']]","[['romantic', 'Steve Rogers', 'Tony Stark'], ['romantic', 'Tony Stark', 'Various'], ['romantic', 'Pepper Potts', 'Tony Stark'], ['romantic', 'J.A.R.V.I.S.', 'Tony Stark'], ['romantic', 'J.A.R.V.I.S.', 'Steve Rogers', 'Tony Stark']]","[['Steve Rogers', '/tags/Steve%20Rogers/works'], ['Tony Stark', '/tags/Tony%20Stark/works'], ['Pepper Potts', '/tags/Pepper%20Potts/works'], ['Original Characters', '/tags/Original%20Characters/works'], ['J.A.R.V.I.S.', '/tags/J*d*A*d*R*d*V*d*I*d*S*d*/works']]","['BDSM', 'Voyeurism', 'Bad Sex', 'Bad Decisions', 'Bad BDSM Etiquette', 'other warnings', 'Threesome', 'Polyamory', 'Artificial Intelligence', 'Computers', 'Reluctant Sadist']",English,[],['Dom/sub'],2011-11-16,2011-11-16,5703,1,1,210,4034,856,52523
